# Simulation 1 (Up to date)
# 256 data points written for 10 variables.
# Simulation warnings:
#   Stage began to tumble under thrust.
#   Large angle of attack encountered (28.3).
#
# Total velocity (m/s),Angle of attack (°),Pitch rate (°/s),CP location (cm),CG location (cm),Normal force coefficient (?),Pitch moment coefficient (?),Pitch damping coefficient (?),Reference length (cm),Reference area (cm²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
16.041,153.89,-243.3,40.337,54.452,3.3509,4.4455,-10.653,7.62,45.604
16.038,156.86,-242,39.448,54.449,2.7645,5.0482,-10.491,7.62,45.604
16.036,159.73,-240.52,38.391,54.447,2.2351,5.6225,-10.332,7.62,45.604
16.034,162.43,-238.88,37.151,54.445,1.775,6.1606,-10.189,7.62,45.604
16.033,165.14,-237.08,35.615,54.443,1.3592,6.6737,-10.032,7.62,45.604
16.032,167.85,-235.12,33.667,54.44,0.99098,7.1619,-9.8634,7.62,45.604
16.032,170.56,-233.01,31.129,54.438,0.67442,7.6219,-9.6847,7.62,45.604
16.032,173.26,-230.75,27.704,54.436,0.41202,8.0522,-9.4974,7.62,45.604
16.033,175.97,-228.35,22.809,54.433,0.20397,8.453,-9.2999,7.62,45.604
16.035,178.7,-225.81,15.253,54.431,0.052124,8.8249,-9.0929,7.62,45.604
16.037,178.47,223.14,16.037,54.428,0.062519,-9.1812,8.8662,7.62,45.604
16.04,175.55,220.31,23.735,54.426,0.23278,-9.5587,8.6214,7.62,45.604
16.044,172.62,217.32,28.688,54.423,0.47068,-9.9577,8.3677,7.62,45.604
16.048,169.68,214.15,32.132,54.421,0.77577,-10.374,8.1047,7.62,45.604
16.052,166.77,210.8,34.62,54.418,1.1401,-10.8,7.8374,7.62,45.604
16.057,163.86,207.24,36.518,54.416,1.5646,-11.235,7.561,7.62,45.604
16.063,160.94,203.48,38.014,54.413,2.0469,-11.679,7.2747,7.62,45.604
16.068,158.04,199.48,39.206,54.41,2.5776,-12.124,6.9812,7.62,45.604
16.073,155.29,195.41,40.136,54.408,3.1252,-12.547,6.693,7.62,45.604
16.077,152.68,191.34,40.877,54.405,3.6786,-12.943,6.4124,7.62,45.604
16.08,150.21,187.29,41.482,54.402,4.2314,-13.314,6.1392,7.62,45.604
16.083,147.9,183.23,41.97,54.4,4.7669,-13.653,5.8768,7.62,45.604
16.084,145.7,179.19,42.379,54.398,5.2906,-13.967,5.6218,7.62,45.604
16.084,143.6,175.15,42.727,54.395,5.802,-14.258,5.3734,7.62,45.604
16.084,141.59,171.11,43.027,54.393,6.2991,-14.527,5.1314,7.62,45.604
16.082,139.67,167.08,43.285,54.391,6.7776,-14.775,4.8964,7.62,45.604
16.079,137.82,163.05,43.51,54.388,7.2385,-15.002,4.6676,7.62,45.604
16.075,136.04,159.02,43.707,54.386,7.6816,-15.21,4.4448,7.62,45.604
16.07,134.33,155,43.881,54.384,8.1061,-15.401,4.228,7.62,45.604
16.064,132.5,150.97,44.065,54.382,8.5707,-15.612,4.0077,7.62,45.604
16.057,130.65,146.94,44.242,54.38,9.047,-15.826,3.7892,7.62,45.604
16.048,128.87,142.91,44.399,54.378,9.5001,-16.019,3.5783,7.62,45.604
16.038,127.16,138.89,44.538,54.376,9.9301,-16.194,3.3745,7.62,45.604
16.027,125.54,134.87,44.657,54.374,10.325,-16.344,3.1793,7.62,45.604
16.015,124.21,130.86,44.731,54.372,10.614,-16.429,3.0008,7.62,45.604
16.002,122.92,126.86,44.798,54.37,10.886,-16.501,2.8273,7.62,45.604
15.99,121.67,122.85,44.857,54.368,11.141,-16.564,2.6587,7.62,45.604
15.977,120.46,118.85,44.91,54.366,11.38,-16.616,2.4951,7.62,45.604
15.964,119.25,114.85,44.963,54.364,11.618,-16.668,2.335,7.62,45.604
15.951,118.02,110.85,45.017,54.362,11.858,-16.721,2.1782,7.62,45.604
15.937,116.82,106.85,45.065,54.36,12.082,-16.765,2.0269,7.62,45.604
15.924,115.67,102.84,45.108,54.358,12.291,-16.8,1.8809,7.62,45.604
15.91,114.55,98.844,45.147,54.356,12.484,-16.828,1.7402,7.62,45.604
15.896,113.48,94.845,45.18,54.354,12.656,-16.843,1.6052,7.62,45.604
15.883,112.47,90.848,45.208,54.352,12.813,-16.852,1.4757,7.62,45.604
15.87,111.48,86.852,45.233,54.35,12.956,-16.854,1.3515,7.62,45.604
15.857,110.53,82.856,45.255,54.348,13.088,-16.851,1.2324,7.62,45.604
15.844,109.62,78.861,45.275,54.346,13.208,-16.842,1.1186,7.62,45.604
15.832,108.86,74.872,45.28,54.344,13.283,-16.812,1.0118,7.62,45.604
15.82,108.13,70.883,45.285,54.342,13.349,-16.778,0.90996,7.62,45.604
15.81,107.43,66.894,45.287,54.34,13.408,-16.742,0.81315,7.62,45.604
15.8,106.77,62.905,45.289,54.338,13.458,-16.705,0.72143,7.62,45.604
15.791,106.05,58.915,45.297,54.336,13.527,-16.68,0.6341,7.62,45.604
15.782,105.22,54.914,45.318,54.334,13.631,-16.68,0.55085,7.62,45.604
15.774,104.42,50.914,45.337,54.332,13.726,-16.676,0.47346,7.62,45.604
15.765,103.67,46.914,45.354,54.33,13.812,-16.673,0.40192,7.62,45.604
15.757,102.95,42.915,45.37,54.328,13.891,-16.667,0.33624,7.62,45.604
15.749,102.35,38.918,45.378,54.326,13.944,-16.651,0.27672,7.62,45.604
15.742,101.8,34.922,45.383,54.324,13.985,-16.632,0.22303,7.62,45.604
15.734,101.3,30.926,45.388,54.322,14.022,-16.614,0.17506,7.62,45.604
15.728,100.83,26.929,45.392,54.32,14.053,-16.598,0.13285,7.62,45.604
15.721,100.44,22.933,45.392,54.318,14.072,-16.58,0.096466,7.62,45.604
15.715,100.19,18.942,45.383,54.316,14.06,-16.55,0.065991,7.62,45.604
15.71,99.98,14.951,45.373,54.314,14.045,-16.521,0.04122,7.62,45.604
15.706,99.814,10.96,45.362,54.312,14.027,-16.496,0.022206,7.62,45.604
15.702,99.692,6.9674,45.352,54.31,14.006,-16.475,0.0089971,7.62,45.604
15.698,99.576,2.9734,45.344,54.308,13.992,-16.462,0.0016417,7.62,45.604
15.695,99.489,-1.0221,45.337,54.306,13.978,-16.452,-1.9432e-4,7.62,45.604
15.693,99.447,-5.0173,45.329,54.304,13.962,-16.439,-0.00469,7.62,45.604
15.69,99.45,-9.0114,45.321,54.301,13.942,-16.416,-0.015154,7.62,45.604
